call_index,mission_time_s,nmpc_solve_time_ms,pid50_solve_time_ms,pid5_solve_time_ms
499,99.800,12.2796,0.0243,0.0378
500,100.000,12.3477,0.0233,0.0375
501,100.200,11.7532,0.0243,0.0230
502,100.400,11.5806,0.0215,0.0221
503,100.600,11.0486,0.0208,0.0223
504,100.800,10.9080,0.0209,0.0224
505,101.000,11.8509,0.0213,0.0212
506,101.200,11.8808,0.0208,0.0215
507,101.400,11.8232,0.0235,0.0214
508,101.600,11.3851,0.0210,0.0217
509,101.800,10.5335,0.0221,0.0215
510,102.000,12.0216,0.0209,0.0209
511,102.200,12.1127,0.0280,0.0382
512,102.400,11.7710,0.0275,0.0382
513,102.600,11.6720,0.0209,0.0227
514,102.800,11.2229,0.0213,0.0220
515,103.000,11.6669,0.0209,0.0215
516,103.200,13.7391,0.0208,0.0220
517,103.400,17.0912,0.0208,0.0274
518,103.600,13.8272,0.0209,0.0216
519,103.800,12.1412,0.0208,0.0214
520,104.000,13.0862,0.0208,0.0214
521,104.200,12.6030,0.0230,0.0216
522,104.400,12.6439,0.0316,0.0352
523,104.600,12.4883,0.0352,0.0369
524,104.800,12.2036,0.0208,0.0224
525,105.000,12.4786,0.0213,0.0217
526,105.200,11.9202,0.0209,0.0228
527,105.400,11.2542,0.0209,0.0757
528,105.600,12.0280,0.0208,0.0218
529,105.800,12.5037,0.0207,0.0213
530,106.000,12.2687,0.0208,0.0284
531,106.200,12.3666,0.0208,0.0216
532,106.400,12.2210,0.0210,0.0214
533,106.600,11.3561,0.0232,0.0214
534,106.800,10.7076,0.0239,0.0348
535,107.000,13.3790,0.0212,0.0340
536,107.200,14.4471,0.0211,0.0384
537,107.400,12.6122,0.0210,0.0230
538,107.600,11.9419,0.0213,0.0341
539,107.800,12.4514,0.0212,0.0221
540,108.000,11.4853,0.0212,0.0220
541,108.200,13.8926,0.0207,0.0215
542,108.400,14.6629,0.0209,0.0211
543,108.600,11.4618,0.0269,0.0216
544,108.800,11.1977,0.0240,0.0219
545,109.000,11.7771,0.0210,0.0347
546,109.200,12.3842,0.0206,0.0393
547,109.400,11.7739,0.0208,0.0227
548,109.600,12.0644,0.0213,0.0218
549,109.800,11.7026,0.0215,0.0220
550,110.000,10.7107,0.0208,0.0219
551,110.200,11.7459,0.0207,0.0220
552,110.400,12.1221,0.0208,0.0217
553,110.600,11.9939,0.0210,0.0222
554,110.800,12.1238,0.0266,0.0217
555,111.000,11.7383,0.0259,0.0214
556,111.200,10.7448,0.0209,0.0216
557,111.400,12.0503,0.0208,0.0387
558,111.600,13.3625,0.0208,0.0382
559,111.800,13.5883,0.0207,0.0238
560,112.000,12.2896,0.0209,0.0217
561,112.200,11.8838,0.0209,0.0221
562,112.400,12.6085,0.0208,0.0484
563,112.600,12.9178,0.0208,0.0218
564,112.800,12.7746,0.0210,0.0222
565,113.000,12.5966,0.0285,0.0215
566,113.200,13.0929,0.0236,0.0215
567,113.400,12.6163,0.0207,0.0219
568,113.600,13.8208,0.0207,0.0212
569,113.800,13.5137,0.0208,0.0394
570,114.000,13.7100,0.0207,0.0381
571,114.200,13.7250,0.0208,0.0227
572,114.400,13.9572,0.0207,0.0242
573,114.600,14.9965,0.0207,0.0231
574,114.800,13.3337,0.0209,0.0220
575,115.000,12.8380,0.0243,0.0221
576,115.200,12.0265,0.0251,0.0217
577,115.400,12.2026,0.0267,0.0215
578,115.600,12.6743,0.0208,0.0213
579,115.800,13.1601,0.0208,0.0211
580,116.000,12.8615,0.0213,0.0218
581,116.200,12.5687,0.0209,0.0387
582,116.400,12.9985,0.0210,0.0388
583,116.600,12.3777,0.0208,0.0218
584,116.800,11.4910,0.0215,0.0346
585,117.000,11.7678,0.0209,0.0226
586,117.200,11.8495,0.0211,0.0222
587,117.400,13.2016,0.0258,0.0218
588,117.600,13.9546,0.0210,0.0215
589,117.800,13.4724,0.0214,0.0219
